股票代码,简称,公司法定中文名称,公司法定代表人,公司注册地址,公司办公地址邮政编码,公司国际互联网网址,公司董事会秘书姓名,公司董事会秘书电话,公司董事会秘书电子信箱,报告期末股东总数,每10股送红股数,每10股派息数（含税）,每10股转增数,本期营业收入(元),本期营业利润(元),利润总额(元),归属于上市公司股东的净利润(元),归属于上市公司股东的扣除非经常性损益的净利润(元),经营活动产生的现金流量净额(元),总资产(元),所有者权益（或股东权益）(元),基本每股收益(元/股),稀释每股收益(元/股),扣除非经常性损益后的基本每股收益(元/股),全面摊薄净资产收益率（%）,加权平均净资产收益率（%）,扣除非经常性损益后全面摊薄净资产收益率（%）,扣除非经常性损益后的加权平均净资产收益率（%）,每股经营活动产生的现金流量净额(元/股),归属于上市公司股东的每股净资产（元/股）
600000,浦发银行,"上海浦东发展银行股份有限公司","吉晓辉","中国·上海市中山东一路12号","200002","http://www.spdb.com.cn","沈？ 思","021-63611226","Shens2@spdb.com.cn","371,109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"广州白云国际机场股份有限公司","刘建强","广州市白云国际机场南工作区自编一号","510470","www.gbiac.net","-","-","-","59,297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
600005,武钢股份,"武汉钢铁股份有限公司","邓崎琳","武汉市青山区沿港路3号","430083","http://www.wisco.com.cn","李海涛","027-86802031","wiscl@wisco.com.cn","389,756","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
600006,东风汽车,"东风汽车股份有限公司","朱福寿","湖北省襄阳市高新区东风汽车大道劲风路3幢","430056","www.dfac.com","张新峰","027-84287977","zhangxinfeng@dfac.com","135,043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
600007,中国国贸,"中国国际贸易中心股份有限公司","洪敬南","北京市建国门外大街1号","100004","http://www.cwtc.com","王京京","010-65052288","dongmi@cwtc.com","24,421","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
600008,首创股份,"北京首创股份有限公司","刘晓光","北京市海淀区双榆树知春路76号翠宫饭店写字楼15层","100028","http://www.capitalwater.cn","郭鹏","010-64689035","securities@capitalwater.cn","159,036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
600009,上海机场,"上海国际机场股份有限公司","贾锐军","上海市浦东新区启航路900号","201207","http://www.shairport.com","黄晔","（021）68341609","ir@shairport.com","76,082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
600010,包钢股份,"内蒙古包钢钢联股份有限公司","周秉利","内蒙古包头市昆区河西工业区","014010","-","董林","0472-2189515","glgfzqb@126.com","473,869","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
600011,华能国际,"华能国际电力股份有限公司","曹培玺        ","北京市西城区复兴门内大街6号华能大厦","100031","www.hpi.com.cn;www.hpi-ir.com.hk","杜大明","010-63226999","ddm@hpi.com.cn","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
600012,皖通高速,"安徽皖通高速公路股份有限公司","周仁强            ","安徽省合肥市望江西路520号","230088","http://www.anhui-expressway.net","韩榕","0551-65338697","wtgs@anhui-expressway.net","46,491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
600015,华夏银行,"华夏银行股份有限公司","吴建","北京市东城区建国门内大街22号","100005","http://www.hxb.com.cn；http://www.95577.com.cn","赵军学","010-85238570，85239938","zhdb@hxb.com.cn","153,135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
