股票代码,简称,1,2,3,4,5,6,7,8,9,10
600000,浦发银行,"股东名称：中国移动通信集团广东有限公司;持股数量：3,730,694,283;持股比例：20%","股东名称：上海国际集团有限公司;持股数量：3,157,513,917;持股比例：16.93%","股东名称：上海国际信托有限公司;持股数量：975,923,794;持股比例：5.23%","股东名称：CITIBANK OVERSEAS INVESTMENT CORPORATION;持股数量：506,164,207;持股比例：2.71%","股东名称：上海国鑫投资发展有限公司;持股数量：377,101,999;持股比例：2.02%","股东名称：兴亚集团控股有限公司;持股数量：200,694,074;持股比例：1.08%","股东名称：中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪;持股数量：190,543,024;持股比例：1.02%","股东名称：百联集团有限公司;持股数量：190,083,517;持股比例：1.02%","股东名称：交通银行-易方达50指数证券投资基金;持股数量：182,134,902;持股比例：0.98%","股东名称：雅戈尔集团股份有限公司;持股数量：179,186,859;持股比例：0.96%"
600001,邯郸钢铁,"","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","",""
600003,ST东北高,"","","","","","","","","",""
600004,白云机场,"股东名称：广东省机场管理集团公司;持股数量：712,591,458;持股比例：61.96%","股东名称：高华-汇丰-GOLDMAN,SACHS&CO.;持股数量：9,620,013;持股比例：0.84%","股东名称：广州交通投资有限公司;持股数量：5,240,000;持股比例：0.46%","股东名称：王雪松;持股数量：4,011,306;持股比例：0.35%","股东名称：中国民航机场建设集团公司;持股数量：3,650,000;持股比例：0.32%","股东名称：中国工商银行-景顺长城精选蓝筹股票型证券投资基金;持股数量：3,140,836;持股比例：0.27%","股东名称：王皓;持股数量：3,000,000;持股比例：0.26%","股东名称：航联保险经纪有限公司;持股数量：2,800,000;持股比例：0.24%","股东名称：兴业银行股份有限公司-兴全全球视野股票型证券投资基金;持股数量：1,999,928;持股比例：0.17%","股东名称：中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪;持股数量：1,999,920;持股比例：0.17%"
600005,武钢股份,"股东名称：武汉钢铁(集团)公司;持股数量：6,593,628,361;持股比例：65.32%","股东名称：深圳吉富创业投资股份有限公司;持股数量：115,782,513;持股比例：1.15%","股东名称：张文敏;持股数量：22,270,000;持股比例：0.22%","股东名称：嘉实沪深300指数证券投资基金;持股数量：22,092,861;持股比例：0.22%","股东名称：宁波奥克斯置业有限公司;持股数量：17,336,101;持股比例：0.17%","股东名称：大通证券股份有限公司;持股数量：14,390,277;持股比例：0.14%","股东名称：华夏沪深300指数证券投资基金;持股数量：14,016,400;持股比例：0.14%","股东名称：上证180交易型开放式指数证券投资基金;持股数量：11,830,309;持股比例：0.12%","股东名称：中信证券股份有限公司客户信用交易担保证券账户;持股数量：11,616,752;持股比例：0.12%","股东名称：嘉实中证锐联基本面50指数证券投资基金(LOF);持股数量：11,103,648;持股比例：0.11%"
600006,东风汽车,"股东名称：东风汽车有限公司;持股数量：1,202,000,000;持股比例：60.1%","股东名称：全国社保基金一零二组合;持股数量：17,151,279;持股比例：0.86%","股东名称：中国农业银行-华夏平稳增长混合型证券投资基金;持股数量：7,964,347;持股比例：0.4%","股东名称：中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪;持股数量：6,999,989;持股比例：0.35%","股东名称：招商银行股份有限公司-华夏经典配置混合型证券投资基金;持股数量：5,999,880;持股比例：0.3%","股东名称：联博有限公司-联博中国投资基金;持股数量：3,363,900;持股比例：0.17%","股东名称：交通银行-国泰金鹰增长证券投资基金;持股数量：3,000,000;持股比例：0.15%","股东名称：叶孝兆;持股数量：2,865,600;持股比例：0.14%","股东名称：全国社保基金一一一组合;持股数量：2,813,979;持股比例：0.14%","股东名称：尚飞;持股数量：2,500,496;持股比例：0.13%"
600007,中国国贸,"股东名称：中国国际贸易中心有限公司;持股数量：812,360,241;持股比例：80.65%","股东名称：中国工商银行-诺安股票证券投资基金;持股数量：18,723,047;持股比例：1.86%","股东名称：YALE UNIVERSITY;持股数量：11,285,836;持股比例：1.12%","股东名称：恒天投资管理有限公司;持股数量：10,300,528;持股比例：1.02%","股东名称：中国农业银行股份有限公司-新华优选分红混合型证券投资基金;持股数量：9,525,739;持股比例：0.95%","股东名称：申银万国-汇丰-MERRILLLYNCHINTERNATIONAL;持股数量：5,414,725;持股比例：0.54%","股东名称：中国建设银行股份有限公司-新华钻石品质企业股票型证券投资基金;持股数量：5,098,751;持股比例：0.51%","股东名称：泰康人寿保险股份有限公司-投连-个险投连;持股数量：4,509,842;持股比例：0.45%","股东名称：甘玉兰;持股数量：3,053,200;持股比例：0.3%","股东名称：张利国;持股数量：3,020,400;持股比例：0.3%"
600008,首创股份,"股东名称：北京首都创业集团有限公司;持股数量：1,309,291,709;持股比例：59.52%","股东名称：泰康人寿保险股份有限公司-分红-个人分红-019L-FH002沪;持股数量：10,196,605;持股比例：0.46%","股东名称：北京高校房地产开发总公司;持股数量：8,100,000;持股比例：0.37%","股东名称：泰康人寿保险股份有限公司-投连-个险投连;持股数量：7,999,761;持股比例：0.36%","股东名称：中国人寿保险(集团)公司-传统-普通保险产品;持股数量：7,048,568;持股比例：0.32%","股东名称：中国银行-嘉实沪深300指数证券投资基金;持股数量：6,019,100;持股比例：0.27%","股东名称：泰康人寿保险股份有限公司-万能-个险万能;持股数量：5,999,811;持股比例：0.27%","股东名称：楼文胜;持股数量：5,000,000;持股比例：0.23%","股东名称：中国建设银行股份有限公司-农银汇理大盘蓝筹股票型证券投资基金;持股数量：4,573,589;持股比例：0.21%","股东名称：中国工商银行股份有限公司-华夏沪深300指数证券投资基金;持股数量：4,500,900;持股比例：0.2%"
600009,上海机场,"股东名称：上海机场(集团)有限公司;持股数量：1,026,177,895;持股比例：53.25%","股东名称：中国光大银行股份有限公司-光大保德信量化核心证券投资基金;持股数量：20,831,660;持股比例：1.08%","股东名称：中国工商银行-景顺长城精选蓝筹股票型证券投资基金;持股数量：19,695,871;持股比例：1.02%","股东名称：中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪;持股数量：18,506,222;持股比例：0.96%","股东名称：中国银行-嘉实稳健开放式证券投资基金;持股数量：16,027,878;持股比例：0.83%","股东名称：中国建设银行-华安宏利股票型证券投资基金;持股数量：15,299,900;持股比例：0.79%","股东名称：中国光大银行股份有限公司-摩根士丹利华鑫资源优选混合型证券投资基金;持股数量：14,141,853;持股比例：0.73%","股东名称：中国工商银行股份有限公司-嘉实主题新动力股票型证券投资基金;持股数量：13,147,199;持股比例：0.68%","股东名称：中国建设银行-银华富裕主题股票型证券投资基金;持股数量：12,478,952;持股比例：0.65%","股东名称：中国银行-工银瑞信核心价值股票型证券投资基金;持股数量：12,000,000;持股比例：0.62%"
600010,包钢股份,"股东名称：包头钢铁(集团)有限责任公司;持股数量：3,931,012,313;持股比例：61.2%","股东名称：中国民生银行股份有限公司-华商领先企业混合型证券投资基金;持股数量：77,219,350;持股比例：1.2%","股东名称：广州证券有限责任公司;持股数量：43,059,234;持股比例：0.67%","股东名称：中国建设银行-上投摩根中国优势证券投资基金;持股数量：39,863,133;持股比例：0.62%","股东名称：中国建设银行股份有限公司-长盛同庆可分离交易股票型证券投资基金;持股数量：37,681,283;持股比例：0.59%","股东名称：中国工商银行-博时平衡配置混合型证券投资基金;持股数量：20,000,000;持股比例：0.31%","股东名称：中国工商银行-上证50交易型开放式指数证券投资基金;持股数量：16,099,905;持股比例：0.25%","股东名称：中国银行-嘉实沪深300指数证券投资基金;持股数量：14,059,829;持股比例：0.22%","股东名称：中国建设银行股份有限公司-华商盛世成长股票型证券投资基金;持股数量：11,842,726;持股比例：0.18%","股东名称：山西焦煤集团有限责任公司;持股数量：11,164,169;持股比例：0.17%"
600011,华能国际,"股东名称：华能国际电力开发公司;持股数量：5,066,662,118;持股比例：36.05%","股东名称：香港中央结算(代理人)有限公司;持股数量：2,556,425,185;持股比例：18.19%","股东名称：中国华能集团公司;持股数量：1,568,001,203;持股比例：11.16%","股东名称：河北建设投资集团有限责任公司;持股数量：603,000,000;持股比例：4.29%","股东名称：中国华能集团香港有限公司;持股数量：520,000,000;持股比例：3.7%","股东名称：汇丰代理人(香港)有限公司;持股数量：430,200,200;持股比例：3.06%","股东名称：辽宁能源投资(集团)有限责任公司;持股数量：422,679,939;持股比例：3.01%","股东名称：江苏省投资管理有限责任公司;持股数量：416,500,000;持股比例：2.96%","股东名称：福建省投资开发集团有限责任公司;持股数量：374,466,667;持股比例：2.66%","股东名称：大连市建设投资有限公司;持股数量：301,500,000;持股比例：2.15%"
600012,皖通高速,"股东名称：安徽省高速公路控股集团有限公司;持股数量：518,581,000;持股比例：31.27%","股东名称：HKSCC NOMINEES LIMITED(代理人);持股数量：490,191,898;持股比例：29.55%","股东名称：招商局华建公路投资有限公司;持股数量：347,019,000;持股比例：20.92%","股东名称：邓普顿投资顾问有限公司;持股数量：7,733,171;持股比例：0.47%","股东名称：匡顺清;持股数量：4,117,923;持股比例：0.25%","股东名称：光大证券股份有限公司;持股数量：3,799,919;持股比例：0.23%","股东名称：中国农业银行-景顺长城内需增长贰号股票型证券投资基金;持股数量：2,959,081;持股比例：0.18%","股东名称：中国工商银行股份有限公司-国泰估值优势可分离交易股票型证券投资基金;持股数量：2,958,633;持股比例：0.18%","股东名称：张凤桐;持股数量：2,117,396;持股比例：0.13%","股东名称：兴和证券投资基金;持股数量：1,798,979;持股比例：0.11%"
600015,华夏银行,"股东名称：首钢总公司;持股数量：1,388,851,181;持股比例：20.28%","股东名称：英大国际控股集团有限公司;持股数量：1,249,226,892;持股比例：18.24%","股东名称：DEUTSCHE BANK LUXEMBOURG S.A. 德意志银行卢森堡股份有限公司;持股数量：635,686,722;持股比例：9.28%","股东名称：DEUTSCHE BANK AKTIENGESELLSCHAFT 德意志银行股份有限公司;持股数量：562,373,461;持股比例：8.21%","股东名称：红塔烟草(集团)有限责任公司;持股数量：299,600,000;持股比例：4.37%","股东名称：润华集团股份有限公司;持股数量：238,054,265;持股比例：3.48%","股东名称：SAL.OPPENHEIM JR.＆CIE.KOMMANDITGESELLSCHAFT AUF AKTIEN萨尔.奥彭海姆股份有限合伙企业;持股数量：171,200,000;持股比例：2.5%","股东名称：北京三吉利能源股份有限公司;持股数量：107,841,472;持股比例：1.57%","股东名称：上海健特生命科技有限公司;持股数量：89,568,322;持股比例：1.31%","股东名称：博时新兴成长股票型证券投资基金;持股数量：65,602,280;持股比例：0.96%"
600016,民生银行,"股东名称：香港中央结算(代理人)有限公司;持股数量：4,078,975,347;持股比例：15.27%","股东名称：新希望投资有限公司;持股数量：1,333,586,825;持股比例：4.99%","股东名称：中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪;持股数量：1,151,307,314;持股比例：4.31%","股东名称：中国船东互保协会;持股数量：905,764,505;持股比例：3.39%","股东名称：东方集团股份有限公司;持股数量：888,970,224;持股比例：3.33%","股东名称：上海健特生命科技有限公司;持股数量：805,600,038;持股比例：3.02%","股东名称：中国中小企业投资有限公司;持股数量：737,955,031;持股比例：2.76%","股东名称：中国泛海控股集团有限公司;持股数量：698,939,116;持股比例：2.62%","股东名称：福信集团有限公司;持股数量：566,151,500;持股比例：2.12%","股东名称：四川南方希望实业有限公司;持股数量：558,306,938;持股比例：2.09%"
600017,日照港,"股东名称：日照港集团有限公司;持股数量：990,625,744;持股比例：37.66%","股东名称：兖矿集团有限公司;持股数量：186,514,800;持股比例：7.09%","股东名称：山东高速集团有限公司;持股数量：117,000,000;持股比例：4.45%","股东名称：中国华融资产管理公司;持股数量：73,600,000;持股比例：2.8%","股东名称：淄博矿业集团有限责任公司;持股数量：72,199,200;持股比例：2.74%","股东名称：中国建设银行-长城品牌优选股票型证券投资基金;持股数量：62,314,557;持股比例：2.37%","股东名称：山东省国有资产投资控股有限公司;持股数量：48,796,113;持股比例：1.85%","股东名称：山东海洋投资有限公司;持股数量：39,000,000;持股比例：1.48%","股东名称：中国长城资产管理公司;持股数量：39,000,000;持股比例：1.48%","股东名称：中交投资有限公司;持股数量：30,460,390;持股比例：1.16%"
600018,上港集团,"股东名称：上海市国有资产监督管理委员会;持股数量：9,284,491,490;持股比例：40.8%","股东名称：亚吉投资有限公司;持股数量：5,570,694,894;持股比例：24.48%","股东名称：上海同盛投资(集团)有限公司;持股数量：5,292,486,284;持股比例：23.26%","股东名称：上海国有资产经营有限公司;持股数量：293,235,050;持股比例：1.29%","股东名称：上海久事公司;持股数量：92,844,915;持股比例：0.41%","股东名称：上海大盛资产有限公司;持股数量：92,844,915;持股比例：0.41%","股东名称：上海交通投资(集团)有限公司;持股数量：29,070,000;持股比例：0.13%","股东名称：博时价值增长证券投资基金;持股数量：22,458,903;持股比例：0.1%","股东名称：东方国际(集团)有限公司;持股数量：20,564,802;持股比例：0.09%","股东名称：中国上海外轮代理有限公司;持股数量：15,570,000;持股比例：0.07%"
600019,宝钢股份,"股东名称：宝钢集团有限公司;持股数量：13,111,255,230;持股比例：74.87%","股东名称：如皋长荣矿石仓储有限公司;持股数量：70,185,347;持股比例：0.4%","股东名称：张家港保税区千兴投资贸易有限公司;持股数量：63,419,861;持股比例：0.36%","股东名称：张家港保税区立信投资有限公司;持股数量：58,626,601;持股比例：0.33%","股东名称：中国工商银行-上证50交易型开放式指数证券投资基金;持股数量：56,389,527;持股比例：0.32%","股东名称：UBS AG(瑞士银行);持股数量：52,959,082;持股比例：0.3%","股东名称：交通银行-易方达50指数证券投资基金;持股数量：51,875,729;持股比例：0.3%","股东名称：张家港保税区日祥贸易有限公司;持股数量：51,612,776;持股比例：0.29%","股东名称：国际金融-渣打-GOVERNMENTOFSINGAPOREINVESTMENTCORPORATIONPTELTD;持股数量：47,747,549;持股比例：0.27%","股东名称：张家港市虹达运输有限公司;持股数量：42,414,158;持股比例：0.24%"
600020,中原高速,"股东名称：河南交通投资集团有限公司;持股数量：965,060,271;持股比例：45.09%","股东名称：招商局华建公路投资有限公司;持股数量：428,152,901;持股比例：20%","股东名称：丁国建;持股数量：2,611,400;持股比例：0.12%","股东名称：中信证券股份有限公司客户信用交易担保证券账户;持股数量：2,567,538;持股比例：0.12%","股东名称：田一夫;持股数量：2,439,526;持股比例：0.11%","股东名称：中国工商银行股份有限公司-汇添富上证综合指数证券投资基金;持股数量：2,435,782;持股比例：0.11%","股东名称：毛洪瑞;持股数量：2,088,300;持股比例：0.1%","股东名称：舒晓东;持股数量：2,085,699;持股比例：0.1%","股东名称：陈国伟;持股数量：1,934,596;持股比例：0.09%","股东名称：徐顺发;持股数量：1,988,720;持股比例：0.09%"
600021,上海电力,"股东名称：中国电力投资集团公司;持股数量：916,646,315;持股比例：42.84%","股东名称：中国电力国际发展有限公司;持股数量：403,465,793;持股比例：18.86%","股东名称：中国长江电力股份有限公司;持股数量：203,371,562;持股比例：9.5%","股东名称：唐建华;持股数量：16,160,239;持股比例：0.76%","股东名称：郁玉生;持股数量：12,309,816;持股比例：0.58%","股东名称：中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪;持股数量：7,538,091;持股比例：0.35%","股东名称：招商银行股份有限公司-建信双利策略主题分级股票型证券投资基金;持股数量：5,415,524;持股比例：0.25%","股东名称：中国建设银行-信诚精萃成长股票型证券投资基金;持股数量：3,499,983;持股比例：0.16%","股东名称：中国工商银行-中海能源策略混合型证券投资基金;持股数量：3,199,913;持股比例：0.15%","股东名称：缪春敏;持股数量：3,158,490;持股比例：0.15%"
