股票代码,简称,公司法定中文名称,公司法定代表人,公司注册地址,公司办公地址邮政编码,公司国际互联网网址,公司董事会秘书姓名,公司董事会秘书电话,公司董事会秘书电子信箱,报告期末股东总数,每10股送红股数,每10股派息数（含税）,每10股转增数,本期营业收入(元),本期营业利润(元),利润总额(元),归属于上市公司股东的净利润(元),归属于上市公司股东的扣除非经常性损益的净利润(元),经营活动产生的现金流量净额(元),总资产(元),所有者权益（或股东权益）(元),基本每股收益(元/股),稀释每股收益(元/股),扣除非经常性损益后的基本每股收益(元/股),全面摊薄净资产收益率（%）,加权平均净资产收益率（%）,扣除非经常性损益后全面摊薄净资产收益率（%）,扣除非经常性损益后的加权平均净资产收益率（%）,每股经营活动产生的现金流量净额(元/股),归属于上市公司股东的每股净资产（元/股）
600000,浦发银行,"上海浦东发展银行股份有限公司","吉晓辉","中国上海市浦东新区浦东南路500号","200002","http://www.spdb.com.cn","沈思","86-21-63611226","Shens2@spdb.com.cn","551,057","3","1.6","0","49,855,851,000","0","25,280,906,000","19,177,211,000","18,993,406,000","-5,507,004,000","2,191,410,774,000","122,996,337,000","1.6","1.6","1.59","0","23.27","0","23.05","-0.38","8.57"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"广州白云国际机场股份有限公司","卢光霖","广州市机场路282号","510470","http://www.baiyunairport.com","徐光玉","86-20-36063595","sh600004@tom.com","89,532","0","3","0","3,865,479,479.2","0","834,561,805.66","587,778,570.54","579,579,931.44","1,646,454,332.71","11,290,507,685.5","6,553,435,013.42","0.51","0.51","0.5","0","9.28","0","9.15","1.43","5.7"
600005,武钢股份,"武汉钢铁股份有限公司","邓崎琳","武汉市青山区沿港路3号","430083","http://www.wisco.com.cn","万毅","86-27-86802031","wiscl@wisco.com.cn","500,181","0","1","0","75,596,603,085.56","0","2,206,824,875.63","1,704,265,460.43","1,689,107,753.39","5,729,143,386.7","76,304,911,019.42","28,195,965,777.59","0.22","0.22","0.22","0","6.14","0","6.09","0.73","3.6"
600006,东风汽车,"东风汽车股份有限公司","徐平","湖北省襄阳市高新技术产业开发区春园西路4号","430056","http://www.dfac.com","张新峰","86-27-84287977","zhangxinfeng@dfac.com","193,390","0","1.2","0","19,800,179,458.67","0","629,862,873.77","570,824,784.85","541,488,996.41","359,883,418.71","18,824,274,523.86","5,892,698,131.71","0.29","0.29","0.27","0","10.09","0","9.57","0.18","2.95"
600007,中国国贸,"中国国际贸易中心股份有限公司","洪敬南","北京市建国门外大街1号","100004","http://www.cwtc.com","王京京","86-10-65052288","dongmi@cwtc.com","40,342","0","0.9","0","1,035,944,829","0","162,212,583","120,778,328","120,853,909","439,300,102","9,408,555,879","4,339,446,611","0.12","0.12","0.12","2.78","2.79","2.79","2.79","0.44","4.31"
600008,首创股份,"北京首创股份有限公司","刘晓光","北京市海淀区双榆树知春路76号翠宫饭店写字楼15层","100028","http://www.capitalwater.cn","郭鹏","86-10-64689035","securities@capitalwater.cn","204,374","0","1.3","0","3,036,660,750.59","0","741,768,332.7","482,668,446.77","429,969,691.86","653,938,799.22","16,841,047,964.12","5,130,499,276.68","0.22","0.22","0.2","0","9.67","0","8.61","0.3","2.33"
600009,上海机场,"上海国际机场股份有限公司","俞吾炎","上海市浦东新区启航路900号","201207","http://www.shairport.com","黄晔","86-21-68341609","ir@shairport.com","170,472","0","1","0","4,186,408,260.79","0","1,669,007,214.65","1,310,708,582.78","1,308,660,425.89","2,247,521,594.1","17,501,768,303.51","14,053,496,865.51","0.68","0.68","0.68","0","9.74","0","9.73","1.17","7.29"
