股票代码,简称,国家持有的有限售条件流通股份数,国有法人持有的有限售条件流通股份数,其他有限售条件的内资流通股份数,境内法人持有的有限售条件流通股份数,境内自然人持有的有限售条件流通股份数,有限售条件的外资流通股份数,境外法人持有的有限售条件流通股份数,境外自然人持有的有限售条件流通股份数,其他有限售股流通股数,有限售条件流通股数,无限售条件人民币普通股数,无限售条件境内上市的外资股数,无限售条件境外上市的外资股数,其他无限售条件已上市流通股份数,无限售条件流通股份合计,股份总数,国家持有的有限售条件流通股份占总股本比例(%),国有法人持有的有限售条件流通股份占总股本比例(%),其他有限售条件的内资流通股份占总股本比例(%),境内法人持有的有限售条件流通股份占总股本比例(%),境内自然人持有的有限售条件流通股份占总股本比例(%),有限售条件的外资流通股份占总股本比例(%),境外法人持有的有限售条件流通股份占总股本比例(%),境外自然人持有的有限售条件流通股份占总股本比例(%),其他有限售股流通股份占总股本比例(%),有限售条件流通股占总股本比例(%),无限售条件人民币普通股占总股本比例(%),无限售条件境内上市的外资股占总股本比例(%),无限售条件境外上市的外资股占总股本比例(%),其他无限售条件已上市流通股份占总股本比例(%),无限售条件流通股占总股本比例(%),股份总数占总股本比例(%)
600000,浦发银行,"0","0","3,730,694,283","3,730,694,283","0","0","0","0","0","3,730,694,283","14,922,777,132","0","0","0","14,922,777,132","18,653,471,415","-","-",20.0,20.0,"-","-","-","-","-",20.0,80.0,"-","-","-",80.0,100.0
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"0","0","0","0","0","0","0","0","0","0","1,150,000,000","0","0","0","1,150,000,000","1,150,000,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600005,武钢股份,"0","0","0","0","0","0","0","0","0","0","10,093,779,823","0","0","0","10,093,779,823","10,093,779,823","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600006,东风汽车,"0","0","0","0","0","0","0","0","0","0","2,000,000,000","0","0","0","2,000,000,000","2,000,000,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600007,中国国贸,"0","0","0","0","0","0","0","0","0","0","1,007,282,534","0","0","0","1,007,282,534","1,007,282,534","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600008,首创股份,"0","0","0","0","0","0","0","0","0","0","2,200,000,000","0","0","0","2,200,000,000","2,200,000,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600009,上海机场,"0","833,482,051","0","0","0","0","0","0","0","833,482,051","1,093,476,397","0","0","0","1,093,476,397","1,926,958,448","-",43.25,"-","-","-","-","-","-","-",43.25,56.75,"-","-","-",56.75,100.0
