股票代码,简称,公司法定中文名称,公司法定代表人,公司注册地址,公司办公地址邮政编码,公司国际互联网网址,公司董事会秘书姓名,公司董事会秘书电话,公司董事会秘书电子信箱,报告期末股东总数,每10股送红股数,每10股派息数（含税）,每10股转增数,本期营业收入(元),本期营业利润(元),利润总额(元),归属于上市公司股东的净利润(元),归属于上市公司股东的扣除非经常性损益的净利润(元),经营活动产生的现金流量净额(元),总资产(元),所有者权益（或股东权益）(元),基本每股收益(元/股),稀释每股收益(元/股),扣除非经常性损益后的基本每股收益(元/股),全面摊薄净资产收益率（%）,加权平均净资产收益率（%）,扣除非经常性损益后全面摊薄净资产收益率（%）,扣除非经常性损益后的加权平均净资产收益率（%）,每股经营活动产生的现金流量净额(元/股),归属于上市公司股东的每股净资产（元/股）
600000,浦发银行,"上海浦东发展银行股份有限公司","吉晓辉","中国上海市中山东一路12号","200002","http://www.spdb.com.cn","沈思","021-63611226 ","Shens2@spdb.com.cn","437,294","0","3","0","67,917,672,000","35,756,727,000","35,839,287,000","27,285,981,000","27,051,004,000","198,655,778,000","2,684,693,689,000","148,891,235,000","1.46","1.46","1.45","0","20.07","0","19.9","10.65","7.98"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"广州白云国际机场股份有限公司","卢光霖","广州市机场路282号","510470","www.baiyunairport.com","徐光玉","020-36063595","sh600004@tom.com","80,930","0","3.5","0","4,239,351,634.93","954,324,241.52","976,954,065.2","697,102,478.89","672,617,938.34","1,310,123,346.88","10,639,464,850.23","6,869,897,492.31","0.61","0.61","0.58","0","10.36","0","10","1.14","5.97"
600005,武钢股份,"武汉钢铁股份有限公司","邓崎琳","武汉市青山区沿港路3号","430083","http://www.wisco.com.cn","万毅","027-86802031","wiscl@wisco.com.cn","502,380","0","0.5","0","101,058,310,544.89","1,365,390,168.57","1,422,937,786.21","1,083,593,060.07","1,058,481,782.88","755,296,758.72","96,100,673,255.56","35,909,714,063.37","0.11","0.11","0.11","0","3.08","0","3.01","0.08","3.56"
600006,东风汽车,"东风汽车股份有限公司","徐平","湖北省襄樊市高新技术产业开发区春园西路 4号","430056","http://www.dfac.com","张新峰","027-84287977","zhangxinfeng@dfac.com","181,253","0","0.5","0","21,393,176,080.01","430,950,582.22","619,846,038.78","464,139,175.3","242,845,000.85","-616,994,072.54","19,408,761,849.95","6,053,362,836.51","0.23","0.23","0.12","0","7.77","0","4.07","-0.31","3.03"
600007,中国国贸,"中国国际贸易中心股份有限公司","洪敬南","北京市建国门外大街1号","100004","http://www.cwtc.com","王京京","010-65052288","dongmi@cwtc.com","37,556","0","1.3","0","1,678,258,878","265,041,794","260,886,771","194,156,561","197,378,906","848,695,993","9,424,950,560","4,442,947,744","0.19","0.19","0.2","0","4.44","0","4.51","0.84","4.41"
600008,首创股份,"北京首创股份有限公司","刘晓光","北京市海淀区双榆树知春路76号翠宫饭店写字楼15层","100028","http://www.capitalwater.cn","郭鹏","010-64689035","securities@capitalwater.cn","191,321","0","1.3","0","3,538,376,656.61","615,045,033.06","845,642,189.87","522,871,175.06","503,804,770.35","531,269,870.94","19,023,561,191.99","5,390,675,150.5","0.24","0.24","0.23","0","9.94","0","9.58","0.24","2.45"
600009,上海机场,"上海国际机场股份有限公司","俞吾炎","上海市浦东新区启航路900号","201207","http://www.shairport.com","黄晔","（021）68341609","ir@shairport.com","117,336","0","6","0","4,611,211,636.06","1,944,493,760.07","1,943,733,146.37","1,499,594,589.5","1,500,189,530.91","2,321,631,245.32","18,919,951,399.74","15,360,395,610.21","0.78","0.78","0.78","0","10.17","0","10.18","1.2","7.97"
600010,包钢股份,"内蒙古包钢钢联股份有限公司","周秉利","内蒙古包头市昆区河西工业区","014010","bisc@sohu.com","郭景龙","0472-2189528","glgfzqb@126.com","492,587","0","0.3","0","42,814,922,834.14","673,486,932.03","646,487,344.32","496,293,308.4","465,881,871.54","2,873,538,517.72","49,733,082,746.13","12,892,181,798.18","0.08","0.08","0.07","0","3.91","0","3.67","0.45","2.01"
600011,华能国际,"华能国际电力股份有限公司","曹培玺","北京市西城区复兴门南大街丙2号（天银大厦C段西区）","100031","http://www.hpi.com.cn;www.hpi-ir.com.hk","谷碧泉","010-63226999","gbq@hpi.com.cn","126,524","0","0","0","133,420,768,944","1,139,266,585","2,348,142,819","1,268,245,238","847,116,831","20,949,154,990","254,365,393,306","50,075,263,660","0.09","0.09","0.06","0","2.47","0","1.65","1.49","3.56"
600012,皖通高速,"安徽皖通高速公路股份有限公司","周仁强","安徽省合肥市望江西路520号","230088","http://www.anhui-expressway.net","谢新宇","0551-5338681","wtgs@anhui-expressway.net","63,756","0","2.1","0","2,216,354,505.11","1,241,540,509.16","1,245,848,559.64","856,727,960.77","853,500,657.92","1,548,407,201.13","10,106,000,905.2","6,266,753,042.76","0.52","0.52","0.52","0","14.39","0","14.34","0.93","3.78"
600015,华夏银行,"华夏银行股份有限公司","吴建","北京市东城区建国门内大街22号","100005","http://www.hxb.com.cn；http://www.95577.com.cn","赵军学","010-85238570，85239938","zhdb@hxb.com.cn","126,774","0","2.5","0","33,543,795,435.33","12,523,510,960.26","12,527,399,212.41","9,221,933,577.13","9,254,575,941.74","79,027,153,067.89","1,244,141,181,567.56","63,901,084,685.41","1.48","1.48","1.49","0","17.44","0","17.5","11.54","9.33"
600016,民生银行,"中国民生银行股份有限公司","董文标","中国北京市西城区复兴门内大街2号","100031","www.cmbc.com.cn","毛晓峰","010－68946790","cmbc@cmbc.com.cn","836,369","0","3","0","82,368,000,000","37,285,000,000","37,175,000,000","27,920,000,000","28,061,000,000","100,926,000,000","2,229,064,000,000","129,597,000,000","1.05","1.05","1.05","0","23.95","0","24.07","3.78","4.85"
600017,日照港,"日照港股份有限公司","杜传志","山东省日照市海滨二路","276826","http://www.rzpcl.com","余慧芳","0633-8388822","yhfang@rzport.com","144,256","0","0.6","0","3,561,769,474.81","625,081,949.91","629,283,720.16","480,625,125.73","477,473,798.04","824,693,072.77","10,428,684,136.89","6,475,578,475.34","0.19","0.19","0.19","0","8.36","0","8.3","0.31","2.46"
600018,上港集团,"上海国际港务（集团）股份有限公司","陈戌源","上海市浦东新区芦潮港镇同汇路1号综合大楼A区4楼","200080","http://www.portshanghai.com.cn","张欣","021-55333388","dongmi@portshanghai.com.cn","379,082","0","1.18","0","21,778,857,219.12","7,031,503,277.57","7,259,272,652.11","4,724,188,042.46","4,477,220,120.44","7,236,378,852.5","83,257,505,210.43","45,328,512,060.1","0.21","0.21","0.2","0","11.38","0","10.78","0.32","1.99"
600019,宝钢股份,"宝山钢铁股份有限公司","何文波","上海市宝山区富锦路885号宝钢指挥中心","201900","http：//www.baosteel.com","陈缨","86-21-26647000","ir@baosteel.com","601,660","0","2","0","222,504,684,693.73","8,838,897,432.68","9,260,125,356.23","7,361,961,636.41","7,009,180,000","12,142,229,747.98","231,099,745,829.88","106,495,490,882.93","0.42","0.42","0.4","0","7.02","0","6.69","0.69","6.08"
600020,中原高速,"河南中原高速公路股份有限公司","关健","河南省郑州市中原路93号","450016","http://www.zygs.com","王维","0371-67717696","zygs600020@163.com","130,037","0.5","0.1","0","2,627,266,611.15","397,479,610.46","401,281,408.29","297,713,142.17","274,576,791.72","1,846,156,462.13","30,379,388,846.31","6,338,836,151.74","0.14","0.14","0.13","0","4.74","0","4.38","0.86","2.96"
600021,上海电力,"上海电力股份有限公司","王运丹","上海市中山南路268号","200010","www.shanghaipower.com","夏梅兴","23108718或23108800转","sepco@shanghaipower.com","130,977","0","0.5","0","17,376,288,190.06","331,621,855.33","823,453,140.35","463,218,327.56","31,181,585.1","-869,276,810.92","31,602,584,711.44","5,886,433,857.17","0.22","0.22","0.01","0","7.97","0","0.54","-0.41","2.75"
